Team;Scenario 1;Scenario 2;Scenario 3;Scenario 4;Scenario 5;Total;Last evaluated
Akvanauti;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;16:40:58
Božje ovčice;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;16:40:59
Divljač velikog momenta tromosti;18.4225;0.0000;0.0000;22.6882;0.0000;41.1107;16:42:32
FERIT;19.7451;0.0000;0.0000;0.0000;0.0000;19.7451;16:44:25
FESB;19.7451;0.0000;0.0000;0.0000;0.0000;19.7451;16:42:55
Gemischt;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;16:44:26
Kornjače;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;16:44:27
Mamlazi;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;16:44:28
Mehrob;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;16:44:29
Narodne mošnje;13.7483;0.0000;0.0000;0.2628;0.0000;14.0111;16:45:43
Njemački strikani;19.7451;0.0000;0.0000;0.0000;0.0000;19.7451;16:49:09
Papkovi papci;19.7451;16.3906;0.7557;14.4184;0.0000;51.3098;16:44:38
Pero Tips;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;16:44:39
STEM Gains;19.7451;10.7990;0.7159;14.1411;0.0000;45.4011;16:46:29
Stroicizam;19.7451;0.0000;0.0000;0.0000;0.0000;19.7451;16:47:14
Šiljo i Družina;19.8376;10.8093;0.6175;3.6993;0.0000;34.9637;16:49:03
Škrgići;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;16:49:04
Team Pokemon;16.6927;0.0000;0.0000;0.0000;0.0000;16.6927;16:49:36
Torpedo;20.2049;0.0000;0.0000;0.0000;0.0000;20.2049;16:42:45
